country,city,gender,ethnicity,animal_type
Brazil,Campo Alegre,Female,Yaqui,cat
China,Jinhu,Female,Honduran,rabbit
China,Sanhe,Female,Chippewa,rabbit
China,Nanjing,Female,Chinese,cat
China,Honghualiangzi,Male,Cherokee,cat
China,Rushankou,Female,Asian Indian,dog
United States,Houston,Female,Colville,rabbit
Canada,Raymond,Male,Asian,dog
Brazil,Rio das Pedras,Female,Yakama,cat
China,Zongzhai,Male,Tohono O'Odham,dog
China,Xinxian,Male,Filipino,rabbit
China,Fucheng,Male,Eskimo,dog
China,Xiaoyan,Female,South American,horse
Brazil,Viana,Male,Asian,rabbit
China,Yangzhou,Female,Chamorro,horse
United States,Santa Rosa,Male,Ottawa,dog
China,Gangba,Female,Sri Lankan,elephant
Brazil,Bocaiúva,Female,Yuman,cat
Brazil,Bauru,Female,Latin American Indian,rabbit
United States,Tampa,Male,Cherokee,elephant
China,Cishangang,Female,Kiowa,cat
China,Ningchegu,Female,Paraguayan,elephant
China,Gechuan,Male,Yakama,horse
China,Longguang,Male,South American,horse
China,Xinjie,Male,Panamanian,rabbit
China,Liangyaping,Male,American Indian,cat
China,Youlongchuan,Female,Hmong,rabbit
United States,Austin,Male,Eskimo,rabbit
China,Nanyang,Female,Osage,cat
Brazil,Itabaiana,Male,Asian Indian,rabbit
Brazil,Correntina,Female,Sioux,dog
Brazil,Americana,Female,Choctaw,dog
China,Yangchun,Female,Sri Lankan,dog
China,Zhenzhushan,Female,Samoan,horse
China,Renliu,Male,Vietnamese,cat
China,Lingzhi,Male,Yakama,rabbit
United States,Philadelphia,Male,Guamanian,cat
China,Santai,Male,Central American,horse
Brazil,Francisco Beltrão,Female,Pima,dog
China,Yangsi,Male,Micronesian,elephant
China,Tashang,Male,Peruvian,cat
China,Hengliang,Female,Yuman,cat
China,Jiangwan,Male,Ute,dog
China,Lian’an,Male,Alaska Native,horse
China,Chenjiaba,Male,Shoshone,horse
Canada,Oromocto,Male,Pueblo,dog
United States,Fort Smith,Female,Colville,elephant
Brazil,Olímpia,Male,Choctaw,cat
China,Qili,Female,Korean,dog
China,Huaqiu,Female,Kiowa,elephant
China,Hutang,Female,Vietnamese,elephant
China,Youzha,Male,American Indian and Alaska Native (AIAN),rabbit
China,Huangzhawan,Female,Shoshone,elephant
China,Longjie,Female,Iroquois,dog
Brazil,Santo Amaro,Female,Asian,horse
Canada,Fruitvale,Female,Filipino,horse
China,Miaoxi,Male,Dominican (Dominican Republic),dog
China,Matou,Male,Vietnamese,elephant
China,Hantang,Male,Argentinian,cat
China,Tanghu,Male,Colombian,dog
China,Nanguzhuang,Female,Thai,rabbit
Canada,Norman Wells,Male,Indonesian,elephant
Canada,Milton,Male,Eskimo,cat
China,Pantian,Male,Blackfeet,dog
China,Huaniao,Male,Korean,rabbit
China,Xialaba,Female,Ottawa,dog
China,Huangli,Male,Colville,rabbit
China,Laocheng,Female,Menominee,rabbit
China,Jincheng,Female,Asian Indian,horse
China,Changchuan,Female,Creek,dog
China,Ligang,Male,Micronesian,horse
China,Xiaomei,Female,Paraguayan,elephant
United States,Camden,Male,Indonesian,horse
China,Bailai,Male,Salvadoran,elephant
Brazil,São Pedro,Male,Menominee,dog
United States,Denver,Female,Delaware,dog
Brazil,Venâncio Aires,Female,Honduran,dog
China,Sanxi,Male,Guamanian,rabbit
China,Xinshan,Female,Malaysian,elephant
Brazil,Sapucaia,Female,Colombian,dog
China,Daxin,Male,Malaysian,elephant
China,Wanghu,Female,Pima,horse
United States,Beaufort,Female,Thai,rabbit
China,Gaoliang,Male,Mexican,elephant
China,Dunhao,Male,Honduran,dog
China,Huangtugang,Male,Tlingit-Haida,cat
China,Beitan,Female,Thai,elephant
China,Zaoshi,Male,Nicaraguan,horse
China,Hongzhou,Male,Paraguayan,cat
China,Jinji,Male,Chippewa,elephant
China,Fucheng,Male,Iroquois,horse
China,Muzhou,Male,Indonesian,cat
China,Xinsheng,Female,South American,dog
China,Gaotai,Male,Navajo,dog
China,Xintian,Female,Tohono O'Odham,rabbit
China,Shiqiao,Male,Tlingit-Haida,elephant
China,Zhongtong,Female,Mexican,dog
China,Nehe,Male,Crow,cat
China,Jintang,Female,Cheyenne,dog
China,Shuangshi,Female,Thai,rabbit
China,Huashu,Female,Black or African American,horse
China,Lubei,Male,Tlingit-Haida,rabbit
China,Weibin,Male,Sri Lankan,horse
China,Tuba,Male,Bolivian,horse
China,Fengcheng,Female,Samoan,dog
China,Xiamayu,Male,Guamanian,cat
China,Lijia,Male,Alaska Native,elephant
China,Xibin,Male,Venezuelan,rabbit
Brazil,Niquelândia,Female,Malaysian,dog
China,Gande,Male,Houma,elephant
China,Hekou,Male,Native Hawaiian,horse
China,Jiaoxie,Female,Lumbee,cat
China,Qibu,Female,Yaqui,rabbit
Brazil,Carauari,Female,Ute,cat
China,Yandun,Male,Chippewa,horse
China,Liulin,Female,Uruguayan,horse
Brazil,Bebedouro,Male,Uruguayan,rabbit
China,Shihuiyao,Male,Delaware,horse
China,Jiumen,Male,Spaniard,cat
China,Hengliang,Female,Hmong,cat
United States,Asheville,Female,Aleut,rabbit
China,Dafang,Female,Crow,rabbit
Canada,Cornwall,Male,Choctaw,rabbit
China,Yuanda,Male,Colville,rabbit
China,Xinqiao,Male,Puget Sound Salish,horse
China,Shangsanji,Female,Aleut,cat
China,Shuangxi,Female,Seminole,horse
China,Xuwei,Male,Shoshone,rabbit
China,Qinghua,Male,Choctaw,dog
China,Hongshanyao,Female,Melanesian,elephant
China,Shekou,Male,White,horse
China,Shaoha,Female,Iroquois,elephant
United States,Nashville,Female,Vietnamese,rabbit
China,Xieshui,Female,Latin American Indian,rabbit
China,Letuyi,Female,Spaniard,elephant
China,Buyun,Female,Cuban,dog
United States,Fort Myers,Male,American Indian and Alaska Native (AIAN),dog
Brazil,Olinda,Female,Houma,horse
China,Mao’ershan,Male,Bolivian,cat
China,Wuluo,Male,South American,elephant
China,Danxi,Female,Panamanian,dog
China,Qianpai,Male,Chinese,cat
United States,Irvine,Female,Cambodian,cat
United States,Bakersfield,Male,Micronesian,cat
China,Chencai,Female,Puerto Rican,rabbit
China,Longnan,Female,Salvadoran,elephant
Canada,Iqaluit,Female,Bolivian,horse
China,Hongqi,Male,Japanese,horse
United States,Washington,Female,Seminole,elephant
China,Houping,Male,Bolivian,rabbit
United States,Sacramento,Male,Japanese,elephant
China,Nalinggou,Male,Honduran,rabbit
Brazil,Novo Hamburgo,Male,Cheyenne,cat
United States,Jamaica,Female,Apache,cat
China,Beitou,Female,Melanesian,cat
Canada,Plessisville,Female,Chilean,cat
China,Zhayang,Male,Hmong,rabbit
China,Erping,Female,Yuman,rabbit
Canada,Kirkland Lake,Male,Colville,elephant
China,Sanchahe,Female,American Indian and Alaska Native (AIAN),dog
China,Wanfang,Male,Lumbee,rabbit
China,Dadian,Female,Uruguayan,cat
China,Benzilan,Male,Comanche,rabbit
United States,Frankfort,Female,Nicaraguan,dog
China,Zongzhai,Male,American Indian,horse
China,Ganhe,Male,Central American,rabbit
China,Wuli,Male,Cherokee,elephant
China,Yanhong,Female,Blackfeet,cat
China,Fulu,Female,Uruguayan,cat
Canada,Sherwood Park,Female,Osage,elephant
China,Taojiahe,Female,Yuman,cat
China,Sanquan,Female,Polynesian,horse
China,Xihu,Male,Yuman,rabbit
China,Wuxi,Female,Alaska Native,rabbit
China,Mao’ershan,Male,Apache,cat
China,Huangludian,Female,Colombian,elephant
China,Heihe,Male,Pima,cat
Brazil,Poço Verde,Female,Iroquois,dog
China,Guangshan Chengguanzhen,Female,Spaniard,cat
China,Lianrao,Female,Fijian,elephant
China,Huayuan,Male,Taiwanese,rabbit
China,Shimen,Female,Indonesian,elephant
China,Dengfang,Female,Uruguayan,rabbit
China,Tiechanggou,Male,Aleut,elephant
China,Guangpu,Female,Cuban,cat
China,Xin’an,Male,Colombian,rabbit
China,Zongzhai,Male,Honduran,elephant
Brazil,Coromandel,Male,Osage,cat
China,Shangtuhai,Female,Alaska Native,elephant
China,Sunjia Buzi,Female,Ute,dog
Brazil,Jardim,Female,Chickasaw,elephant
China,Shiniu,Male,Tlingit-Haida,cat
China,Wufeng,Male,Navajo,cat
China,Shanlian,Male,Colville,dog
United States,Sacramento,Female,Sioux,elephant
China,Xinji,Male,Korean,horse
China,Xijiao,Male,Sri Lankan,elephant
China,Shancheng,Male,Peruvian,elephant
China,Jianshe,Female,Korean,dog
China,Saxin,Female,Paraguayan,dog
Canada,High River,Female,Yaqui,rabbit
China,Rende,Male,Blackfeet,cat
United States,Pensacola,Female,Indonesian,cat
Canada,Bécancour,Female,Alaska Native,dog
China,Zhujiachang,Female,Colombian,cat
United States,Tulsa,Male,Alaskan Athabascan,elephant
China,Shuangta,Male,Thai,rabbit
China,Jianguo,Male,Indonesian,horse
China,Xujiadian,Female,Tlingit-Haida,rabbit
China,Hulitu,Female,Honduran,elephant
China,Liaoyang,Male,Yakama,horse
China,Changlu,Female,Pueblo,horse
China,Doumuhu,Male,Navajo,elephant
United States,Lafayette,Female,Cherokee,horse
Brazil,Tupaciguara,Male,South American,elephant
China,Suqin Huimin,Male,Blackfeet,cat
China,Shanjie,Male,Ottawa,elephant
United States,Baltimore,Male,Micronesian,dog
China,Tiaodeng,Male,Yakama,cat
China,Bailizhou,Male,Nicaraguan,horse
Brazil,Areado,Female,Korean,elephant
China,Jinhe,Male,Spaniard,rabbit
China,Taipinghu,Male,Alaskan Athabascan,horse
China,Sanhe,Male,Filipino,horse
China,Guomaying,Female,Cree,horse
China,Shouchang,Male,Salvadoran,dog
Canada,Weyburn,Male,Ottawa,cat
China,Tianxin,Male,Pakistani,cat
Brazil,Cambebba,Male,Taiwanese,elephant
China,Gufeng,Female,Cambodian,elephant
China,Xiangshui,Male,Potawatomi,elephant
China,Tanxi,Male,Micronesian,cat
China,Xiaoweizhai,Female,Pima,dog
China,Sanjiazi,Female,Houma,rabbit
China,Yanmenguan,Female,American Indian and Alaska Native (AIAN),elephant
China,Xiangzhu,Male,Native Hawaiian,elephant
China,Dajin,Male,Bangladeshi,rabbit
China,Lanxi,Male,Pima,dog
China,Yengimahalla,Female,Shoshone,dog
China,Yeyik,Female,Fijian,elephant
China,Fangxiang,Female,Uruguayan,dog
China,Qidi,Male,Hmong,cat
China,Jiangtun,Male,Samoan,horse
Brazil,Ceará Mirim,Female,Yakama,dog
United States,Pensacola,Female,Guamanian,horse
China,Yanzhou,Female,Pakistani,elephant
Canada,Saskatoon,Male,Nicaraguan,horse
China,Xiwanzi,Female,Bangladeshi,cat
China,Tacheng,Male,Yakama,cat
China,Boketu,Male,Peruvian,elephant
United States,Miami,Male,Asian,rabbit
China,Jiaoshi,Female,Puget Sound Salish,cat
China,Weiyanggong,Male,Menominee,dog
China,Heshui,Female,Chickasaw,horse
Canada,St. Catharines,Male,Potawatomi,dog
China,Songshu,Female,Yakama,elephant
China,Xin’e,Male,Black or African American,horse
China,Baise City,Female,Guamanian,rabbit
United States,Brooklyn,Female,Pakistani,horse
China,Songgui,Female,Potawatomi,elephant
China,Taoshan,Male,Chinese,rabbit
China,Sanxing,Male,Navajo,horse
China,Jiujiang,Male,Mexican,cat
China,Sanming,Male,Tohono O'Odham,rabbit
China,Xiliguantun,Male,Argentinian,cat
China,Hengshan,Female,Tongan,cat
China,Tongqing,Female,Sioux,dog
China,Songgang,Female,Yuman,dog
China,Xinqiao,Female,Melanesian,rabbit
China,Leiwang,Male,Vietnamese,rabbit
United States,Alexandria,Male,American Indian,elephant
China,Longnan,Female,Chinese,elephant
China,Baiquan,Male,Colville,cat
China,Zhengyu,Male,Laotian,dog
United States,Mobile,Female,Hmong,elephant
Brazil,Cascavel,Female,Asian,horse
Brazil,Tapiramutá,Female,Chickasaw,rabbit
China,Fuxing,Male,Pima,horse
China,Rinbung,Male,Eskimo,dog
China,Shayuan,Female,Yuman,rabbit
China,Labrang,Male,Guamanian,cat
China,Daqiao,Male,Dominican (Dominican Republic),elephant
China,Fengyang,Male,Guatemalan,rabbit
China,Huaqiao,Male,Shoshone,cat
China,Taoyuan,Female,Chilean,horse
United States,Cincinnati,Male,Micronesian,elephant
China,Jijiazhuang,Male,Chippewa,horse
United States,Shawnee Mission,Female,Crow,elephant
China,Zhonghe,Male,Panamanian,horse
China,Pailou,Female,Eskimo,cat
China,Nanyang,Male,Samoan,elephant
China,Xiabaishi,Male,Osage,elephant
China,Wanglinkou,Male,Blackfeet,dog
China,Huimin,Male,Salvadoran,elephant
China,Erdaojiang,Female,Panamanian,cat
China,Lop,Female,Central American,dog
China,Lubei,Male,Honduran,rabbit
China,Qili,Male,Menominee,elephant
China,Mengmeng,Female,Tohono O'Odham,rabbit
United States,Huntington,Male,Thai,rabbit
China,Gantang,Female,Native Hawaiian and Other Pacific Islander (NHPI),rabbit
China,Taipingxi,Female,Chamorro,horse
China,Henghe,Male,Korean,elephant
China,Jinzhuang,Female,Nicaraguan,cat
China,Honglu,Female,Malaysian,elephant
United States,Atlanta,Female,Cuban,rabbit
United States,Gainesville,Female,Creek,rabbit
China,Zoumaping,Male,Vietnamese,horse
China,Lixi,Male,Ottawa,rabbit
China,Laoliangcang,Male,Native Hawaiian,dog
Brazil,Cotia,Female,Asian Indian,dog
China,Tangping,Female,Dominican (Dominican Republic),rabbit
United States,Toledo,Female,Indonesian,dog
China,Matoupu,Male,Tongan,rabbit
Brazil,Santos Dumont,Female,Blackfeet,dog
China,Shanshi,Male,Kiowa,horse
China,Xuling,Male,Micronesian,elephant
China,Jianchang,Male,Houma,horse
Canada,Moose Jaw,Female,Dominican (Dominican Republic),cat
China,Chaoyang,Female,Fijian,cat
China,Xinzhou,Male,Chamorro,cat
China,Xing’an,Male,Iroquois,horse
China,Xinkai,Female,Native Hawaiian,dog
China,Yuzui,Male,Sri Lankan,horse
China,Chengnan,Female,Central American,cat
Brazil,Itambé,Female,Latin American Indian,rabbit
United States,Evansville,Female,American Indian and Alaska Native (AIAN),rabbit
China,Diancun,Male,Cambodian,horse
United States,Orlando,Female,Chinese,cat
China,Huangzhawan,Male,Indonesian,horse
Brazil,Santa Adélia,Male,Tongan,horse
China,Mazhu,Female,South American,rabbit
China,Payxambabazar,Male,Japanese,cat
China,Yangfeng,Female,Colville,rabbit
China,Meicheng,Male,Chippewa,dog
China,Yaojiaji,Female,Nicaraguan,elephant
Brazil,Jaraguá,Male,Paraguayan,elephant
China,Xiamao,Female,Spaniard,elephant
United States,Pinellas Park,Female,Tlingit-Haida,elephant
Brazil,São Gotardo,Female,Delaware,elephant
China,Xujiadian,Female,Peruvian,cat
Brazil,Guararapes,Female,Yaqui,horse
China,Chengdong,Female,Japanese,rabbit
United States,Decatur,Female,Polynesian,horse
Brazil,Não Me Toque,Male,Osage,cat
China,Tiepu,Male,American Indian and Alaska Native (AIAN),dog
China,Zhangyelu,Male,Melanesian,cat
China,Shuidong,Male,Central American,rabbit
United States,Kansas City,Male,Salvadoran,elephant
China,Zhongtong,Male,Honduran,horse
China,Leigu,Female,Uruguayan,horse
China,Nanxindian,Female,Cheyenne,cat
China,Baoli,Female,Kiowa,cat
China,Dayong,Male,Apache,dog
China,Shadui,Male,American Indian and Alaska Native (AIAN),elephant
China,Aizhai,Male,Guatemalan,elephant
China,Shanghu,Male,Bangladeshi,cat
China,Jinhe,Male,Cheyenne,horse
China,Qingshuitang,Male,Creek,cat
Brazil,Itajubá,Male,Lumbee,dog
Brazil,Apiaí,Female,South American,horse
Brazil,Porteirinha,Male,Filipino,elephant
Brazil,Três Passos,Male,Panamanian,cat
China,Xuanzhou,Female,Cherokee,horse
China,Guojiaba,Female,Comanche,cat
United States,Lansing,Female,Alaskan Athabascan,dog
United States,Orlando,Female,Yakama,cat
China,Xiabuji,Female,American Indian,horse
China,Xiaomei,Female,Colombian,horse
China,Dagui,Female,Thai,elephant
China,Hetian,Female,Colombian,rabbit
China,Shangfang,Male,Indonesian,cat
China,Situ,Male,Yakama,cat
China,Jinhua,Male,Puget Sound Salish,cat
China,Lianhua,Male,Navajo,rabbit
China,Xianshuigu,Male,Black or African American,cat
China,Shuozhou,Male,Eskimo,rabbit
China,Lidong,Male,Chilean,cat
China,Fengshuling,Male,Bangladeshi,cat
China,Basar,Male,Kiowa,cat
China,Dazhangzhuang,Male,Shoshone,dog
Brazil,Quaraí,Female,Blackfeet,cat
China,Qiaotou,Male,Tongan,horse
China,Lingcheng,Female,Comanche,horse
Canada,Saint-Eustache,Male,American Indian and Alaska Native (AIAN),cat
Brazil,Carangola,Female,South American,cat
China,Zhaotong,Female,Guamanian,elephant
Brazil,São Joaquim,Male,Uruguayan,dog
China,Shewopo,Male,Paiute,horse
United States,Savannah,Male,Chilean,cat
China,Geputan,Female,Houma,horse
China,Tumu’ertai,Male,Iroquois,dog
China,Xijiang,Female,Mexican,dog
China,Xiangjiazhai,Male,Uruguayan,dog
China,Shangtuhai,Female,Menominee,elephant
China,Hedong,Female,Iroquois,dog
China,Yulong,Male,Paiute,elephant
China,Qingxi,Female,Asian,rabbit
United States,Washington,Male,White,dog
China,Shuikou,Female,Melanesian,elephant
Brazil,Jaguarari,Male,Malaysian,dog
China,Xiashixiang,Female,Polynesian,dog
China,Wugong,Female,Native Hawaiian and Other Pacific Islander (NHPI),dog
United States,San Jose,Male,Ecuadorian,cat
China,Miaotang,Female,Chilean,elephant
China,Zaoshi,Male,Yaqui,horse
China,Dongjiang Matoukou,Male,Tlingit-Haida,horse
China,Qinglin,Male,Yuman,dog
United States,Midland,Male,Ute,dog
China,Gaotian,Male,Puget Sound Salish,elephant
China,Zhongshi,Male,Tohono O'Odham,dog
China,Caijiapu,Female,Puget Sound Salish,rabbit
Canada,Bay Roberts,Male,Cherokee,horse
China,Maoping,Male,Mexican,cat
China,Anxiang,Male,Salvadoran,rabbit
China,Tuanjie,Male,Eskimo,dog
Brazil,Santa Maria da Vitória,Female,Shoshone,elephant
Brazil,Armação,Female,Chamorro,elephant
China,Huangjiazhai,Male,Colville,horse
China,Simajia,Male,Pueblo,dog
China,Maoming,Female,Colville,horse
China,Gaotang,Female,Bangladeshi,rabbit
China,Daliyuan,Male,Lumbee,horse
United States,Chicago,Female,Asian,horse
China,Zhize,Male,Sri Lankan,cat
China,Majiao,Male,Mexican,elephant
Brazil,Paraíba do Sul,Female,Cuban,cat
China,Yanling,Female,Crow,elephant
China,Shanglu,Female,Alaskan Athabascan,elephant
China,Tiandian,Male,Paiute,cat
Brazil,Pirassununga,Male,Yakama,cat
Brazil,Arauá,Male,Alaskan Athabascan,dog
China,Leiwang,Male,Central American,dog
China,Jinpanling,Male,Korean,horse
China,Wujingfu,Female,Bangladeshi,elephant
China,Fangcun,Female,Laotian,rabbit
China,Guanbuqiao,Female,Colombian,cat
China,Minshan,Male,Latin American Indian,cat
China,Tanglag,Female,Pakistani,dog
United States,Pompano Beach,Male,American Indian,cat
China,Zhengwan,Male,Central American,rabbit
Brazil,Niquelândia,Female,Samoan,dog
China,Shengmi,Female,Tohono O'Odham,elephant
China,Huiwen,Male,Malaysian,horse
China,Jianfeng,Male,Salvadoran,rabbit
China,Jomda,Male,Malaysian,cat
China,Jinqu,Female,Vietnamese,rabbit
China,Nankou,Female,Cherokee,cat
United States,New York City,Female,Ottawa,horse
China,Jin’e,Male,Pueblo,dog
United States,Chicago,Male,Pima,dog
Brazil,Ribeirão Pires,Female,Mexican,elephant
Brazil,Cassilândia,Male,Eskimo,horse
China,Xinrong,Female,Japanese,horse
China,Jilong,Female,Tlingit-Haida,dog
China,Qianjia,Male,Delaware,horse
China,Shangping,Male,Paraguayan,rabbit
China,Tangxi,Male,Puerto Rican,cat
China,Heichengzi,Female,Micronesian,horse
Brazil,Ribeirópolis,Female,Honduran,dog
China,He’an,Female,Delaware,cat
Brazil,São Raimundo Nonato,Male,Central American,elephant
China,Mamu,Female,Chippewa,cat
China,Daping,Male,Vietnamese,elephant
China,Zhongmen,Male,Korean,horse
Canada,Stony Plain,Female,American Indian,cat
Brazil,Amaraji,Male,Aleut,dog
Brazil,Lajedo,Female,South American,dog
China,Wushan,Female,Cuban,horse
China,Qingshui,Female,Melanesian,cat
United States,Tulsa,Female,Mexican,elephant
Brazil,Bertioga,Female,Bangladeshi,dog
Brazil,Coromandel,Female,Taiwanese,horse
China,Quanzhou,Male,Osage,cat
China,Chahe,Male,White,rabbit
China,Liujia,Female,Chamorro,cat
Canada,La Broquerie,Female,Alaskan Athabascan,cat
China,Pubu,Male,Ottawa,dog
China,Luyi,Female,Laotian,rabbit
China,Zhanping,Female,Asian Indian,dog
China,Yuanqiao,Female,Lumbee,cat
China,Jinghai,Female,Vietnamese,horse
China,Yujiao,Female,Comanche,horse
China,Zhujiaqiao,Male,Nicaraguan,horse
China,Huangzhou,Male,Japanese,dog
China,Haibeitou,Female,Seminole,rabbit
China,Shancheng,Male,Pakistani,horse
China,Dongzhang,Female,Cambodian,horse
China,Mujiangping,Male,South American,cat
China,Yuekou,Male,Ecuadorian,elephant
Canada,Nipawin,Male,Chickasaw,dog
China,Shuangyang,Female,Japanese,dog
China,Chidian,Female,Peruvian,cat
China,Xinwu,Male,Puget Sound Salish,dog
United States,Olympia,Female,Yakama,elephant
China,Zhangjiayuan,Male,Tohono O'Odham,cat
Brazil,Paracuru,Female,Samoan,rabbit
China,Youhua,Male,Native Hawaiian and Other Pacific Islander (NHPI),horse
China,Xinji,Female,Puget Sound Salish,dog
China,Xian’an,Male,Ottawa,dog
China,Xiaozhi,Male,Paiute,cat
China,Xinlin,Female,Apache,dog
China,Tangnanzhen,Female,Paiute,cat
United States,Lynchburg,Female,Mexican,rabbit
China,Fenghuang,Male,Pueblo,cat
China,Gaojimiao,Female,Taiwanese,cat
China,Guocun,Male,Chippewa,cat
Canada,Princeton,Male,Tohono O'Odham,cat
Brazil,Xique Xique,Male,Paiute,rabbit
China,Chenglin,Female,Native Hawaiian and Other Pacific Islander (NHPI),horse
United States,Louisville,Male,Venezuelan,elephant
Brazil,Lages,Male,Kiowa,horse
Brazil,União da Vitória,Male,Yaqui,cat
United States,Grand Rapids,Male,Yaqui,dog
China,Yecun,Female,Ottawa,rabbit
China,Fushan,Male,Cherokee,horse
China,Jiaozuo,Male,Ute,elephant
China,Nankou,Male,Panamanian,elephant
China,Guli,Female,Chinese,dog
China,Yong’an,Female,Pima,horse
China,Foshan,Male,Samoan,cat
United States,Corpus Christi,Female,Cherokee,dog
Brazil,Rio Formoso,Female,Panamanian,rabbit
China,Wulan Haye,Female,Blackfeet,dog
China,Qiandong,Male,Taiwanese,horse
United States,Humble,Male,Creek,cat
Canada,Lloydminster,Female,Lumbee,cat
United States,Birmingham,Male,Malaysian,horse
China,Dongtundu,Female,Chilean,rabbit
Brazil,Morro do Chapéu,Female,White,cat
China,Huangtudian,Male,Salvadoran,cat
China,Suizhong,Male,South American,cat
China,Mulan,Male,Alaska Native,dog
Canada,Gjoa Haven,Male,Potawatomi,elephant
Brazil,Tremembé,Male,Sri Lankan,rabbit
China,Dalongdong,Female,Ottawa,cat
China,Gaoxiang,Male,Puget Sound Salish,horse
China,Pengxing,Female,Tohono O'Odham,dog
China,Huancheng,Male,Chamorro,elephant
Canada,Calmar,Female,Samoan,elephant
China,Beijie,Female,Samoan,rabbit
China,Wanzhi,Male,Ute,rabbit
Brazil,Naviraí,Male,Guatemalan,rabbit
Brazil,Campo Formoso,Male,Malaysian,elephant
China,Maguan,Female,Potawatomi,rabbit
China,Dagou,Female,Creek,rabbit
Brazil,São José,Male,Samoan,cat
China,Shaxi,Male,American Indian,elephant
China,Zhoinda,Male,Ute,rabbit
China,Suqiaoxiang,Female,Delaware,dog
China,Liushi,Female,Houma,dog
China,Changqing,Female,Osage,elephant
China,Shuangxi,Female,Yuman,horse
Brazil,Itapaci,Male,Japanese,cat
China,Houba,Male,Micronesian,rabbit
China,Chenfangji,Female,Aleut,elephant
China,Jiukou,Male,Panamanian,cat
Brazil,Santa Luzia,Female,Filipino,elephant
Brazil,Januária,Female,Mexican,rabbit
China,Lijiaping,Female,Ottawa,elephant
China,Hexi,Male,Pakistani,horse
United States,Colorado Springs,Female,Guamanian,rabbit
Canada,Marystown,Female,Costa Rican,cat
United States,Buffalo,Female,Bolivian,elephant
China,Jiandou,Male,Venezuelan,rabbit
China,Jitian,Female,Seminole,rabbit
China,Qingfeng,Female,Melanesian,cat
China,Qijiang,Female,Pima,elephant
United States,Bronx,Male,Chamorro,dog
Canada,Sherwood Park,Female,Chinese,dog
United States,Tyler,Male,Yakama,horse
China,Dongcheng,Male,Polynesian,cat
China,Chenjiatan,Male,Central American,elephant
